#File	#date	#Source	#Software	#Creator	#Contributors	#Owner	#Rights	#RightsURL	#ContactURL
*	2021-oct.-09						Rights specified by the local license file	license.md	syslog@laposte.net
docs/contents/logo/logo.svg	2019		Inkscape	Nzo syslog@laposte.net			CC0 1.0	http://creativecommons.org/publicdomain/zero/1.0/	syslog@laposte.net
src/animasnd/audio.py	2008			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/animasnd/image.py	2008			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/animasnd/video.py	2008			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/codec/codec.py	2019			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/codec/condensat.py	2019			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/codec/crypto.py	2019			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/config/config.py	2008/10			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/constants/constants.py	2010			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/convert/colors.py	2008/8			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/convert/data.py	2020-sept.-20			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/convert/numbers.py	2017			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/convert/text.py	2020-sept.-20			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/eml.py	2010			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/html.py	2020-juin-20			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/ini.py	2021			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/jon.py	2020-juin-20			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/mtl.py	2010			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/obj.py	2010			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/tsv.py	2015			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/txt.py	2021			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/datafiles/yml.py	2020-juin-20			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/ds/array.py	2022/1			Nzo syslog@laposte.net	franco		public domain		syslog@laposte.net
src/ds/chain.py	2009/1			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/ds/matrix.py	2009/1			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/ds/quaternion.py	2009/1			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/ds/table.py	2011			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/ds/vector.py	2009/1			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/fs/actions.py	2020			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/fs/checks.py	2020			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/fs/hashers.py	2020			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/fs/pathnames.py	2020			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/fs/permits.py	2020			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/fs/temps.py	2020			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/fs/timers.py	2020			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/geometry/circular.py	2016			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/geometry/curves.py	2016			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/geometry/polyhedra.py	2016			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/io/tty.py	2020-sept.-25			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/logger/logger.py	2016-févr.-25			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/net/aws.py	2017			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/net/client.py	2008			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/net/ftp.py	2020-juin-17			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/net/server.py	2008			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/platform/platform.py	2021-oct.-10			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/timer/timer.py	2016			Nzo syslog@laposte.net			public domain		syslog@laposte.net
src/translator/translator.py	2020-juin-18			Nzo syslog@laposte.net			public domain		syslog@laposte.net
